,ts_code
769,000731.SZ
770,000732.SZ
771,000733.SZ
772,000730.SZ
773,000735.SZ
774,000830.SZ
775,000831.SZ
776,000832.SZ
777,000833.SZ
778,000835.SZ
779,301180.SZ
780,000892.SZ
781,000893.SZ
782,000895.SZ
783,001896.SZ
784,000737.SZ
785,000738.SZ
786,000739.SZ
787,000748.SZ
788,000838.SZ
789,000839.SZ
790,000848.SZ
791,000836.SZ
792,301027.SZ
793,301293.SZ
794,001318.SZ
795,300617.SZ
796,301187.SZ
797,300674.SZ
798,002181.SZ
799,002976.SZ
800,301488.SZ
801,301516.SZ
802,300926.SZ
803,300737.SZ
804,301396.SZ
805,300638.SZ
806,002825.SZ
807,300775.SZ
808,001235.SZ
809,301508.SZ
810,002510.SZ
811,301205.SZ
812,002709.SZ
813,301518.SZ
814,300497.SZ
815,002907.SZ
816,301007.SZ
817,300965.SZ
818,300999.SZ
819,000333.SZ
820,301270.SZ
821,002866.SZ
822,301178.SZ
823,301618.SZ
824,002427.SZ
825,003003.SZ
826,002365.SZ
827,002358.SZ
828,001255.SZ
829,301024.SZ
830,002003.SZ
831,002023.SZ
832,002206.SZ
833,002963.SZ
834,002005.SZ
835,002006.SZ
836,300205.SZ
837,002946.SZ
838,301185.SZ
839,301269.SZ
840,300873.SZ
841,301135.SZ
842,300602.SZ
843,002520.SZ
844,002043.SZ
845,002004.SZ
846,002024.SZ
847,300760.SZ
848,000338.SZ
849,301111.SZ
850,301308.SZ
851,300683.SZ
852,300294.SZ
853,001227.SZ
854,300195.SZ
855,300609.SZ
856,301056.SZ
857,301155.SZ
858,301039.SZ
859,002570.SZ
860,002931.SZ
861,300747.SZ
862,300349.SZ
863,002124.SZ
864,001266.SZ
865,002949.SZ
866,300605.SZ
867,301321.SZ
868,300801.SZ
869,301082.SZ
870,300627.SZ
871,002943.SZ
872,003013.SZ
873,300673.SZ
874,300896.SZ
875,300342.SZ
876,002014.SZ
877,002028.SZ
878,300376.SZ
879,002015.SZ
880,301037.SZ
881,001230.SZ
882,301265.SZ
883,002016.SZ
884,002029.SZ
885,300549.SZ
886,300361.SZ
887,300883.SZ
888,300175.SZ
889,002030.SZ
890,002017.SZ
891,002018.SZ
892,300557.SZ
893,301006.SZ
894,002981.SZ
895,300503.SZ
896,300202.SZ
897,002019.SZ
898,002020.SZ
899,002021.SZ
900,002039.SZ
901,000166.SZ
902,002736.SZ
903,300832.SZ
904,002042.SZ
905,002322.SZ
906,300885.SZ
907,002939.SZ
908,002500.SZ
909,002797.SZ
910,002347.SZ
911,002048.SZ
912,300940.SZ
913,003005.SZ
914,003001.SZ
915,300313.SZ
916,300778.SZ
917,002031.SZ
918,002049.SZ
919,001979.SZ
920,301156.SZ
921,300319.SZ
922,300151.SZ
923,002050.SZ
924,002032.SZ
925,002022.SZ
926,002985.SZ
927,300434.SZ
928,300498.SZ
929,301101.SZ
930,301162.SZ
931,002033.SZ
932,300723.SZ
933,001313.SZ
934,301337.SZ
935,301138.SZ
936,003017.SZ
937,002786.SZ
938,300687.SZ
939,002034.SZ
940,002025.SZ
941,001965.SZ
942,301528.SZ
943,301305.SZ
944,002007.SZ
945,001239.SZ
946,001212.SZ
947,300916.SZ
948,300711.SZ
949,002008.SZ
950,002869.SZ
951,002009.SZ
952,301538.SZ
953,300992.SZ
954,001289.SZ
955,300774.SZ
956,002010.SZ
957,301502.SZ
958,002109.SZ
959,301011.SZ
960,002011.SZ
961,001308.SZ
962,002903.SZ
963,300715.SZ
964,002888.SZ
965,301399.SZ
966,002909.SZ
967,001207.SZ
968,301207.SZ
969,002139.SZ
970,002035.SZ
971,301317.SZ
972,301248.SZ
973,301060.SZ
974,002448.SZ
975,002343.SZ
976,002300.SZ
977,002012.SZ
978,002036.SZ
979,002027.SZ
980,002013.SZ
981,300802.SZ
982,002084.SZ
983,002081.SZ
984,300970.SZ
985,300823.SZ
986,300119.SZ
987,300542.SZ
988,001278.SZ
989,300560.SZ
990,002999.SZ
991,002309.SZ
992,300106.SZ
993,300279.SZ
994,002455.SZ
995,001213.SZ
996,002523.SZ
997,300018.SZ
998,300323.SZ
999,002643.SZ
1000,002783.SZ
1001,002149.SZ
1002,301131.SZ
1003,300653.SZ
1004,300273.SZ
1005,300190.SZ
1006,300088.SZ
1007,300023.SZ
1008,002296.SZ
1009,002917.SZ
1010,002053.SZ
1011,300006.SZ
1012,300142.SZ
1013,002324.SZ
1014,002568.SZ
1015,002506.SZ
1016,300226.SZ
1017,300008.SZ
1018,002104.SZ
1019,002727.SZ
1020,002839.SZ
1021,002756.SZ
1022,002703.SZ
1023,300820.SZ
1024,002527.SZ
1025,300547.SZ
1026,002351.SZ
1027,300199.SZ
1028,301469.SZ
1029,300303.SZ
1030,002108.SZ
1031,002054.SZ
1032,301225.SZ
1033,002687.SZ
1034,002686.SZ
1035,002406.SZ
1036,301525.SZ
1037,300039.SZ
1038,002809.SZ
1039,300819.SZ
1040,300318.SZ
1041,002141.SZ
1042,002718.SZ
1043,002381.SZ
1044,002588.SZ
1045,002366.SZ
1046,300072.SZ
1047,300070.SZ
1048,002668.SZ
1049,002055.SZ
1050,002479.SZ
1051,002418.SZ
1052,002799.SZ
1053,300103.SZ
1054,300388.SZ
1055,300015.SZ
1056,002530.SZ
1057,002507.SZ
1058,002375.SZ
1059,002111.SZ
1060,002107.SZ
1061,002087.SZ
1062,300033.SZ
1063,300074.SZ
1064,002069.SZ
1065,002082.SZ
1066,002092.SZ
1067,002403.SZ
1068,002637.SZ
1069,300022.SZ
1070,002749.SZ
1071,002863.SZ
1072,002089.SZ
1073,002057.SZ
1074,002077.SZ
1075,002079.SZ
1076,300020.SZ
1077,300164.SZ
1078,002078.SZ
1079,300016.SZ
1080,002058.SZ
1081,002806.SZ
1082,002857.SZ
1083,002669.SZ
1084,300272.SZ
1085,301313.SZ
1086,002059.SZ
1087,002091.SZ
1088,002094.SZ
1089,300271.SZ
1090,300168.SZ
1091,300693.SZ
1092,301368.SZ
1093,301046.SZ
1094,002065.SZ
1095,002153.SZ
1096,002063.SZ
1097,300051.SZ
1098,300102.SZ
1099,002562.SZ
1100,301529.SZ
1101,301218.SZ
1102,300728.SZ
1103,300833.SZ
1104,002095.SZ
1105,002052.SZ
1106,002090.SZ
1107,002567.SZ
1108,002432.SZ
1109,300407.SZ
1110,301273.SZ
1111,002595.SZ
1112,300185.SZ
1113,002470.SZ
1114,002573.SZ
1115,300344.SZ
1116,300135.SZ
1117,002478.SZ
1118,002733.SZ
1119,002482.SZ
1120,002613.SZ
1121,300189.SZ
1122,300073.SZ
1123,300513.SZ
1124,300157.SZ
1125,300339.SZ
1126,300284.SZ
1127,002313.SZ
1128,300035.SZ
1129,001218.SZ
1130,002549.SZ
1131,001216.SZ
1132,300182.SZ
1133,300075.SZ
1134,300324.SZ
1135,002576.SZ
1136,002519.SZ
1137,002513.SZ
1138,002660.SZ
1139,002421.SZ
1140,002316.SZ
1141,300267.SZ
1142,300187.SZ
1143,300730.SZ
1144,300212.SZ
1145,300682.SZ
1146,002409.SZ
1147,002778.SZ
1148,300095.SZ
1149,002591.SZ
1150,002384.SZ
1151,300390.SZ
1152,002452.SZ
1153,300566.SZ
1154,002698.SZ
1155,002385.SZ
1156,002695.SZ
1157,002460.SZ
1158,002610.SZ
1159,002808.SZ
1160,300382.SZ
1161,300192.SZ
1162,002315.SZ
1163,002422.SZ
1164,002499.SZ
1165,002601.SZ
1166,002321.SZ
1167,002426.SZ
1168,300331.SZ
1169,002336.SZ
1170,300887.SZ
1171,002680.SZ
1172,002642.SZ
1173,001210.SZ
1174,300007.SZ
1175,300437.SZ
1176,002661.SZ
1177,002910.SZ
1178,002425.SZ
1179,002722.SZ
1180,300116.SZ
1181,300134.SZ
1182,300097.SZ
1183,300196.SZ
1184,002536.SZ
1185,300829.SZ
1186,002928.SZ
1187,300027.SZ
1188,002545.SZ
1189,300110.SZ
1190,002498.SZ
1191,300010.SZ
1192,002373.SZ
1193,300463.SZ
1194,002497.SZ
1195,002592.SZ
1196,300379.SZ
1197,002638.SZ
1198,300034.SZ
1199,300231.SZ
1200,300011.SZ
1201,002368.SZ
1202,300274.SZ
1203,002622.SZ
1204,300372.SZ
1205,002449.SZ
1206,300472.SZ
1207,002367.SZ
1208,002579.SZ
1209,002521.SZ
1210,300014.SZ
1211,300047.SZ
1212,300052.SZ
1213,300264.SZ
1214,301222.SZ
1215,002457.SZ
1216,300076.SZ
1217,002819.SZ
1218,002310.SZ
1219,300367.SZ
1220,002906.SZ
1221,002750.SZ
1222,002436.SZ
1223,300012.SZ
1224,300163.SZ
1225,002657.SZ
1226,300003.SZ
1227,300406.SZ
1228,300851.SZ
1229,002364.SZ
1230,002587.SZ
1231,300130.SZ
1232,300568.SZ
1233,300042.SZ
1234,002473.SZ
1235,002878.SZ
1236,300541.SZ
1237,300296.SZ
1238,002415.SZ
1239,002534.SZ
1240,002535.SZ
1241,300868.SZ
1242,300124.SZ
1243,002399.SZ
1244,300206.SZ
1245,300314.SZ
1246,300329.SZ
1247,300659.SZ
1248,002805.SZ
1249,300321.SZ
1250,300045.SZ
1251,300295.SZ
1252,002471.SZ
1253,300178.SZ
1254,300389.SZ
1255,002580.SZ
1256,002476.SZ
1257,300099.SZ
1258,002376.SZ
1259,002554.SZ
1260,002383.SZ
1261,300302.SZ
1262,300117.SZ
1263,002540.SZ
1264,002559.SZ
1265,300356.SZ
1266,300346.SZ
1267,300044.SZ
1268,300167.SZ
1269,300546.SZ
1270,002526.SZ
1271,002921.SZ
1272,300651.SZ
1273,300240.SZ
1274,300024.SZ
1275,301137.SZ
1276,300310.SZ
1277,002678.SZ
1278,002410.SZ
1279,300641.SZ
1280,300468.SZ
1281,300203.SZ
1282,002710.SZ
1283,002312.SZ
1284,002651.SZ
1285,301067.SZ
1286,301353.SZ
1287,300933.SZ
1288,300690.SZ
1289,300652.SZ
1290,300169.SZ
1291,002773.SZ
1292,300019.SZ
1293,002697.SZ
1294,300028.SZ
1295,300127.SZ
1296,300138.SZ
1297,300408.SZ
1298,300745.SZ
1299,002218.SZ
1300,002214.SZ
1301,002235.SZ
1302,002288.SZ
1303,301398.SZ
1304,301323.SZ
1305,300021.SZ
1306,002883.SZ
1307,300375.SZ
1308,300474.SZ
1309,002222.SZ
1310,002407.SZ
1311,002201.SZ
1312,300543.SZ
1313,300688.SZ
1314,301112.SZ
1315,002417.SZ
1316,002509.SZ
1317,002123.SZ
1318,002125.SZ
1319,300213.SZ
1320,002474.SZ
1321,300598.SZ
1322,002121.SZ
1323,002126.SZ
1324,002122.SZ
1325,002129.SZ
1326,002180.SZ
1327,002197.SZ
1328,002151.SZ
1329,003029.SZ
1330,300338.SZ
1331,002143.SZ
1332,002443.SZ
1333,002743.SZ
1334,300373.SZ
1335,002386.SZ
1336,301319.SZ
1337,301318.SZ
1338,300009.SZ
1339,002361.SZ
1340,300825.SZ
1341,002127.SZ
1342,002131.SZ
1343,002132.SZ
1344,002371.SZ
1345,002763.SZ
1346,300583.SZ
1347,001229.SZ
1348,300068.SZ
1349,300111.SZ
1350,002135.SZ
1351,002134.SZ
1352,002138.SZ
1353,002248.SZ
1354,002156.SZ
1355,002155.SZ
1356,002178.SZ
1357,002488.SZ
1358,002440.SZ
1359,002674.SZ
1360,300056.SZ
1361,002137.SZ
1362,002152.SZ
1363,002150.SZ
1364,002133.SZ
1365,300370.SZ
1366,301226.SZ
1367,002308.SZ
1368,300161.SZ
1369,002563.SZ
1370,002136.SZ
1371,002128.SZ
1372,002130.SZ
1373,002250.SZ
1374,002267.SZ
1375,002157.SZ
1376,002257.SZ
1377,002147.SZ
1378,002666.SZ
1379,002600.SZ
1380,002345.SZ
1381,002684.SZ
1382,301151.SZ
1383,002605.SZ
1384,002769.SZ
1385,002113.SZ
1386,002170.SZ
1387,300448.SZ
1388,300137.SZ
1389,300086.SZ
1390,002339.SZ
1391,002433.SZ
1392,002400.SZ
1393,002918.SZ
1394,300093.SZ
1395,300221.SZ
1396,002340.SZ
1397,001283.SZ
1398,002547.SZ
1399,002715.SZ
1400,301279.SZ
1401,300862.SZ
1402,002533.SZ
1403,002502.SZ
1404,300482.SZ
1405,300147.SZ
1406,300260.SZ
1407,301311.SZ
1408,300306.SZ
1409,002423.SZ
1410,300038.SZ
1411,300200.SZ
1412,002437.SZ
1413,002196.SZ
1414,002241.SZ
1415,002245.SZ
1416,002177.SZ
1417,300695.SZ
1418,300913.SZ
1419,300837.SZ
1420,002169.SZ
1421,002163.SZ
1422,002255.SZ
1423,002174.SZ
1424,002164.SZ
1425,300886.SZ
1426,301092.SZ
1427,300642.SZ
1428,002253.SZ
1429,002246.SZ
1430,002234.SZ
1431,002195.SZ
1432,003020.SZ
1433,300836.SZ
1434,002972.SZ
1435,002397.SZ
1436,002194.SZ
1437,002272.SZ
1438,300514.SZ
1439,002845.SZ
1440,300739.SZ
1441,301220.SZ
1442,300942.SZ
1443,301315.SZ
1444,300697.SZ
1445,002171.SZ
1446,002175.SZ
1447,002266.SZ
1448,002304.SZ
1449,301356.SZ
1450,301556.SZ
1451,002434.SZ
1452,300069.SZ
1453,300067.SZ
1454,300812.SZ
1455,001314.SZ
1456,002189.SZ
1457,002223.SZ
1458,002262.SZ
1459,301161.SZ
1460,002998.SZ
1461,002259.SZ
1462,002233.SZ
1463,002243.SZ
1464,300708.SZ
1465,301106.SZ
1466,002447.SZ
1467,002459.SZ
1468,002284.SZ
1469,002282.SZ
1470,301499.SZ
1471,003041.SZ
1472,002173.SZ
1473,002225.SZ
1474,002260.SZ
1475,002188.SZ
1476,003021.SZ
1477,003028.SZ
1478,002849.SZ
1479,001256.SZ
1480,002438.SZ
1481,300002.SZ
1482,300713.SZ
1483,002258.SZ
1484,002264.SZ
1485,002419.SZ
1486,300907.SZ
1487,300686.SZ
1488,300771.SZ
1489,002276.SZ
1490,002221.SZ
1491,002251.SZ
1492,002204.SZ
1493,002212.SZ
1494,002165.SZ
1495,002192.SZ
1496,002199.SZ
